Subject,Start Date,Start Time,All Day Event,Description,Location,Private
"MH-04 Phillies vs. MH-02 Yankees","5/10/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"MH-03 Athletics vs. LG-02 Giants","5/22/2012","5:30:00 PM","False","  ","Fisher","False"
"LA-04 Jays vs. MH-03 Athletics","4/21/2012","12:00:00 PM","False","  ","Congress Springs","False"
"MH-05 Giants vs. MH-04 Phillies","5/7/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"SJ-01 Hornets vs. LA-06 Tarheels","5/23/2012","5:15:00 PM","False","  ","Skip Mueller (Rosita)","False"
"SA-02 Red Sox vs. LG-03 Reds","5/17/2012","5:15:00 PM","False","  ","Fisher","False"
"SJ-02 Rebels vs. LA-01 Cubs","4/21/2012","3:00:00 PM","False","  ","Skip Mueller (Rosita)","False"
"SJ-01 Hornets vs. SJ-02 Rebels","4/2/2012","5:15:00 PM","False","  ","Dartmouth","False"
"SA-01 Marlins vs. LG-02 Giants","4/7/2012","9:00:00 AM","False","  ","Fisher","False"
"MH-01 Mets vs. SA-01 Marlins","5/19/2012","3:00:00 PM","False","  ","Congress Springs","False"
"MH-01 Mets vs. LG-02 Giants","4/28/2012","3:00:00 PM","False","  ","Fisher","False"
"MH-02 Yankees vs. LG-02 Giants","4/21/2012","12:00:00 PM","False","  ","Fisher","False"
"SJ-02 Rebels vs. MH-05 Giants","3/24/2012","3:00:00 PM","False","  ","Pinnacle Bank","False"
"LG-01 Red Sox vs. LA-04 Jays","4/7/2012","3:00:00 PM","False","  ","Congress Springs","False"
"LG-02 Giants vs. MH-05 Giants","5/19/2012","9:00:00 AM","False","  ","Pinnacle Bank","False"
"LG-02 Giants vs. LG-01 Red Sox","5/24/2012","5:15:00 PM","False","  ","Fisher","False"
"MH-05 Giants vs. LG-04 White Sox","5/8/2012","5:15:00 PM","False","  ","Fisher","False"
"LG-01 Red Sox vs. LG-04 White Sox","4/26/2012","5:15:00 PM","False","  ","Fisher","False"
"MH-01 Mets vs. MH-03 Athletics","5/9/2012","5:15:00 PM","False","  ","Pinnacle Bank","False"
"LA-02 Longhorns vs. SJ-01 Hornets","4/21/2012","10:00:00 AM","False","  ","Dartmouth","False"
"LG-03 Reds vs. LA-06 Tarheels","4/7/2012","12:00:00 PM","False","  ","Skip Mueller (Rosita)","False"
"SA-01 Marlins vs. SJ-02 Rebels","3/31/2012","1:30:00 PM","False","  ","Dartmouth","False"
"LA-01 Cubs vs. MH-05 Giants","4/3/2012","5:30:00 PM","False","  ","Congress Springs","False"
"LA-05 Badgers vs. SJ-02 Rebels","5/7/2012","5:15:00 PM","False","  ","Dartmouth","False"
"MH-05 Giants vs. SA-02 Red Sox","3/31/2012","12:00:00 PM","False","  ","Congress Springs","False"
"LG-02 Giants vs. LG-04 White Sox","4/12/2012","5:15:00 PM","False","  ","Fisher","False"
